"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"100k","desc","R1,R2,","R_0603_1608Metric","libref","2","2","","",
"10k","desc","R3,R4,","R_0603_1608Metric","libref","2","2","","",
"STM32F103C8T6","desc","U1,","LQFP-48_7x7mm_P0.5mm","libref","48","1","","",
"WS4518E","desc","U2,","SOT-23-5_HandSoldering","libref","5","1","","",
"AP1117-33","desc","U3,","SOT-223-3_TabPin2","libref","4","1","","",
"Through Hole Items ",
"22pF","desc","C1,C2,C3,C4,","C_Disc_D3.0mm_W1.6mm_P2.50mm","libref","2","4","","",
"Charge","desc","D1,","LED_D3.0mm","libref","2","1","","",
"hole","desc","H1,H2,H3,H4,","MountingHole_2.2mm_M2","libref","1","4","","",
"Boot","desc","J1,","PinHeader_2x03_P2.00mm_Vertical","libref","6","1","","",
"UART","desc","J2,","PinHeader_1x03_P2.00mm_Vertical","libref","3","1","","",
"USB_B_Micro","desc","J3,","USB_Micro-B_Molex-105017-0001","libref","13","1","","",
"Ultrasonic","desc","J4,","PinSocket_1x04_P2.00mm_Vertical","libref","4","1","","",
"Buttons","desc","J5,","PinHeader_1x05_P2.00mm_Vertical","libref","5","1","","",
"Battery","desc","J6,","Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical","libref","2","1","","",
"S9014","desc","Q1,","TO-92","libref","3","1","","",
"8MHz","desc","Y1,","Resonator-2Pin_W8.0mm_H3.5mm","libref","2","1","","",
"32.768kHz","desc","Y2,","Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style1","libref","3","1","","",
"Buzzer","desc","BZ1,","Buzzer_15x7.5RM7.6","libref","2","1","","",
