"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603_1608Metric","27.432mm","15.748mm","27.432mm","15.748mm","27.432mm","14.973mm","T","90","22pF",
"C2","C_0603_1608Metric","31.242mm","15.748mm","31.242mm","15.748mm","31.242mm","14.973mm","T","90","22pF",
"C3","C_0603_1608Metric","31.242mm","19.558mm","31.242mm","19.558mm","31.242mm","20.333mm","T","270","22pF",
"C4","C_0603_1608Metric","27.432mm","19.558mm","27.432mm","19.558mm","27.432mm","20.333mm","T","270","22pF",
"R1","R_0603_1608Metric","33.782mm","27.686mm","33.782mm","27.686mm","33.782mm","28.511mm","T","270","100k",
"R2","R_0603_1608Metric","44.196mm","27.686mm","44.196mm","27.686mm","44.196mm","26.861mm","T","90","100k",
"R3","R_0603_1608Metric","9.144mm","22.098mm","9.144mm","22.098mm","9.969mm","22.098mm","T","180","10k",
"R4","R_0603_1608Metric","20.32mm","28.448mm","20.32mm","28.448mm","20.32mm","29.273mm","T","270","10k",
"U1","LQFP-48_7x7mm_P0.5mm","38.862mm","17.78mm","38.862mm","17.78mm","34.6995mm","20.53mm","T","0","STM32F103C8T6",
"U2","SOT-23-5_HandSoldering","4.064mm","20.828mm","4.064mm","20.828mm","5.414mm","19.878mm","T","180","WS4518E",
"U3","SOT-223-3_TabPin2","18.542mm","20.828mm","18.542mm","20.828mm","15.392mm","23.128mm","T","0","AP1117-33",
"Through Hole Items ",
"D1","LED_D3.0mm","18.288mm","28.448mm","18.288mm","28.448mm","18.288mm","28.448mm","T","180","Charge",
"H1","MountingHole_2.2mm_M2","2.54mm","28.448mm","2.54mm","28.448mm","2.54mm","28.448mm","T","0","hole",
"H2","MountingHole_2.2mm_M2","2.54mm","2.54mm","2.54mm","2.54mm","2.54mm","2.54mm","T","0","hole",
"H3","MountingHole_2.2mm_M2","47.752mm","28.448mm","47.752mm","28.448mm","47.752mm","28.448mm","T","0","hole",
"H4","MountingHole_2.2mm_M2","47.752mm","2.54mm","47.752mm","2.54mm","47.752mm","2.54mm","T","0","hole",
"J1","PinHeader_2x03_P2.00mm_Vertical","36.83mm","26.162mm","36.83mm","26.162mm","36.83mm","26.162mm","T","90","Boot",
"J2","PinHeader_1x03_P2.00mm_Vertical","46.99mm","18.796mm","46.99mm","18.796mm","46.99mm","18.796mm","T","180","UART",
"J3","USB_Micro-B_Molex-105017-0001","10.16mm","27.94mm","10.16mm","27.94mm","11.46mm","26.4775mm","T","180","USB_B_Micro",
"J4","PinSocket_1x04_P2.00mm_Vertical","22.86mm","3.556mm","22.86mm","3.556mm","22.86mm","3.556mm","T","90","Ultrasonic",
"J5","PinHeader_1x05_P2.00mm_Vertical","34.798mm","3.556mm","34.798mm","3.556mm","34.798mm","3.556mm","T","90","Buttons",
"J6","Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical","27.432mm","27.686mm","27.432mm","27.686mm","27.432mm","27.686mm","T","180","Battery",
"Q1","TO-92","21.336mm","11.43mm","21.336mm","11.43mm","21.336mm","11.43mm","T","270","S9014",
"Y1","Resonator-2Pin_W8.0mm_H3.5mm","27.432mm","11.43mm","27.432mm","11.43mm","27.432mm","11.43mm","T","0","8MHz",
"Y2","Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style1","31.75mm","24.638mm","31.75mm","24.638mm","31.75mm","24.638mm","T","270","32.768kHz",
"BZ1","Buzzer_15x7.5RM7.6","13.716mm","9.652mm","13.716mm","9.652mm","13.716mm","9.652mm","T","180","Buzzer",
